,open,high,low,close,volume
2023-12-18 03:45:00+00:00,407.95,407.95,405.0,406.7,2414
2023-12-18 03:50:00+00:00,406.7,407.9,406.4,407.3,4576
2023-12-18 03:55:00+00:00,407.3,407.6,406.6,406.95,3391
2023-12-18 04:00:00+00:00,406.95,407.6,406.1,406.95,3421
2023-12-18 04:05:00+00:00,406.95,407.2,406.05,406.1,618
2023-12-18 04:10:00+00:00,406.5,406.9,405.85,406.85,257
2023-12-18 04:15:00+00:00,406.85,406.85,405.2,406.45,59
2023-12-18 04:20:00+00:00,405.5,406.65,405.5,406.5,182
2023-12-18 04:25:00+00:00,406.5,406.5,406.0,406.5,493
2023-12-18 04:30:00+00:00,406.55,406.55,406.0,406.0,133
2023-12-18 04:35:00+00:00,406.0,406.95,405.75,406.75,1383
2023-12-18 04:40:00+00:00,406.85,407.2,406.75,407.15,592
2023-12-18 04:45:00+00:00,407.15,407.3,406.75,407.2,85
2023-12-18 04:50:00+00:00,407.2,407.2,405.2,405.25,1315
2023-12-18 04:55:00+00:00,406.45,406.8,405.0,405.55,3265
2023-12-18 05:00:00+00:00,405.75,405.95,404.75,405.65,368
2023-12-18 05:05:00+00:00,405.65,405.7,404.4,404.4,423
2023-12-18 05:10:00+00:00,404.4,404.95,404.0,404.95,1236
2023-12-18 05:15:00+00:00,404.95,405.9,404.95,405.15,267
2023-12-18 05:20:00+00:00,405.9,406.4,405.1,405.45,184
2023-12-18 05:25:00+00:00,405.45,406.0,405.35,406.0,125
2023-12-18 05:30:00+00:00,406.0,406.7,406.0,406.65,372
2023-12-18 05:35:00+00:00,406.65,407.55,406.65,407.45,554
2023-12-18 05:40:00+00:00,407.45,407.6,406.65,407.6,481
2023-12-18 05:45:00+00:00,407.6,407.6,406.1,406.85,469
2023-12-18 05:50:00+00:00,406.85,406.9,406.05,406.05,51
2023-12-18 05:55:00+00:00,406.05,406.6,405.75,405.75,68
2023-12-18 06:00:00+00:00,405.75,406.9,405.75,405.9,354
2023-12-18 06:05:00+00:00,405.9,406.75,405.9,406.05,100
2023-12-18 06:10:00+00:00,406.05,406.35,405.15,405.55,717
2023-12-18 06:15:00+00:00,405.55,406.15,405.4,406.15,208
