,open,high,low,close,volume
2023-12-18 03:45:00+00:00,1828.0,1829.95,1814.0,1815.75,458
2023-12-18 03:50:00+00:00,1815.45,1830.05,1815.4,1827.95,2155
2023-12-18 03:55:00+00:00,1827.95,1832.0,1827.95,1828.65,175
2023-12-18 04:00:00+00:00,1828.65,1836.0,1826.5,1836.0,335
2023-12-18 04:05:00+00:00,1836.0,1842.35,1833.05,1833.05,498
2023-12-18 04:10:00+00:00,1833.05,1839.45,1833.05,1835.0,176
2023-12-18 04:15:00+00:00,1835.0,1836.1,1833.3,1836.1,58
2023-12-18 04:20:00+00:00,1836.1,1836.55,1830.8,1834.95,204
2023-12-18 04:25:00+00:00,1834.95,1836.95,1834.0,1835.0,520
2023-12-18 04:30:00+00:00,1835.0,1837.8,1835.0,1835.05,485
2023-12-18 04:35:00+00:00,1835.05,1837.75,1835.0,1835.0,251
2023-12-18 04:40:00+00:00,1833.4,1836.9,1833.4,1835.0,107
2023-12-18 04:45:00+00:00,1835.0,1837.1,1835.0,1835.1,25
2023-12-18 04:50:00+00:00,1835.1,1835.15,1835.1,1835.15,9
2023-12-18 04:55:00+00:00,1835.15,1837.25,1835.1,1837.25,14
2023-12-18 05:00:00+00:00,1837.25,1837.8,1833.2,1835.0,164
2023-12-18 05:05:00+00:00,1834.6,1836.95,1833.0,1833.05,152
2023-12-18 05:10:00+00:00,1834.9,1834.95,1833.05,1834.95,10
2023-12-18 05:15:00+00:00,1834.95,1837.25,1834.95,1837.0,52
2023-12-18 05:20:00+00:00,1837.0,1837.8,1835.0,1835.0,188
2023-12-18 05:25:00+00:00,1835.0,1837.5,1835.0,1837.5,15
2023-12-18 05:30:00+00:00,1837.5,1837.5,1831.05,1831.05,198
2023-12-18 05:35:00+00:00,1831.05,1833.6,1831.05,1833.6,103
2023-12-18 05:40:00+00:00,1833.6,1833.6,1829.25,1830.45,172
2023-12-18 05:45:00+00:00,1830.45,1831.85,1830.45,1830.55,26
2023-12-18 05:50:00+00:00,1830.55,1830.55,1828.05,1828.05,122
2023-12-18 05:55:00+00:00,1828.05,1834.45,1828.05,1834.45,72
2023-12-18 06:00:00+00:00,1834.45,1835.3,1834.0,1834.0,81
2023-12-18 06:05:00+00:00,1834.0,1835.3,1831.0,1834.95,519
2023-12-18 06:10:00+00:00,1834.95,1836.0,1834.0,1834.0,82
2023-12-18 06:15:00+00:00,1834.0,1835.25,1833.45,1835.25,91
2023-12-18 06:20:00+00:00,1835.25,1835.25,1832.2,1832.2,55
2023-12-18 06:25:00+00:00,1832.2,1835.4,1832.2,1833.8,13
2023-12-18 06:30:00+00:00,1833.8,1836.0,1832.4,1834.95,48
2023-12-18 06:35:00+00:00,1839.0,1841.1,1837.6,1837.6,274
2023-12-18 06:40:00+00:00,1837.6,1843.5,1836.05,1843.4,557
2023-12-18 06:45:00+00:00,1843.4,1843.4,1841.55,1843.3,56
2023-12-18 06:50:00+00:00,1843.3,1843.3,1841.55,1843.2,31
2023-12-18 06:55:00+00:00,1843.2,1846.0,1840.0,1840.0,250
2023-12-18 07:00:00+00:00,1840.0,1855.55,1840.0,1853.2,2230
2023-12-18 07:05:00+00:00,1855.9,1856.0,1853.25,1853.25,322
2023-12-18 07:10:00+00:00,1853.25,1853.45,1850.0,1851.15,402
2023-12-18 07:15:00+00:00,1851.15,1854.9,1851.1,1853.55,81
2023-12-18 07:20:00+00:00,1853.55,1854.0,1853.0,1854.0,125
2023-12-18 07:25:00+00:00,1854.0,1856.0,1852.2,1854.8,107
