,open,high,low,close,volume
2023-12-18 03:45:00+00:00,228.9,232.25,228.65,231.3,11385
2023-12-18 03:50:00+00:00,231.15,231.8,229.8,230.9,3195
2023-12-18 03:55:00+00:00,230.9,231.55,230.25,231.15,2917
2023-12-18 04:00:00+00:00,231.15,231.35,229.7,230.25,1916
2023-12-18 04:05:00+00:00,230.25,230.7,229.9,230.35,1177
2023-12-18 04:10:00+00:00,230.35,231.05,230.25,230.5,453
2023-12-18 04:15:00+00:00,230.5,230.5,230.05,230.05,191
2023-12-18 04:20:00+00:00,230.05,230.45,229.6,229.85,426
2023-12-18 04:25:00+00:00,229.85,229.95,229.3,229.95,477
2023-12-18 04:30:00+00:00,230.0,230.0,229.3,229.35,1384
2023-12-18 04:35:00+00:00,230.0,230.8,229.9,230.6,5087
2023-12-18 04:40:00+00:00,230.6,230.65,230.05,230.65,407
2023-12-18 04:45:00+00:00,230.65,231.45,230.0,231.2,8766
2023-12-18 04:50:00+00:00,231.3,231.3,230.35,231.0,1262
2023-12-18 04:55:00+00:00,231.0,231.0,230.7,230.75,413
2023-12-18 05:00:00+00:00,230.7,230.85,230.4,230.45,243
2023-12-18 05:05:00+00:00,230.45,230.45,229.9,230.05,1071
2023-12-18 05:10:00+00:00,230.05,230.75,229.75,230.6,635
2023-12-18 05:15:00+00:00,230.6,230.6,230.6,230.6,1
2023-12-18 05:20:00+00:00,230.6,230.6,230.3,230.5,10
2023-12-18 05:25:00+00:00,229.75,229.95,229.75,229.9,2090
2023-12-18 05:30:00+00:00,229.9,229.9,229.2,229.45,204
2023-12-18 05:35:00+00:00,229.5,229.6,229.05,229.6,452
2023-12-18 05:40:00+00:00,229.6,230.0,229.2,230.0,3418
2023-12-18 05:45:00+00:00,230.0,231.4,229.8,230.65,5873
2023-12-18 05:50:00+00:00,230.95,231.3,230.85,231.0,3513
2023-12-18 05:55:00+00:00,231.0,231.0,230.75,231.0,237
2023-12-18 06:00:00+00:00,231.0,231.3,230.9,231.25,537
2023-12-18 06:05:00+00:00,231.25,231.25,231.0,231.25,326
2023-12-18 06:10:00+00:00,230.95,231.25,230.95,231.2,296
2023-12-18 06:15:00+00:00,231.2,231.2,230.8,231.2,85
2023-12-18 06:20:00+00:00,231.2,231.2,230.8,230.9,77
2023-12-18 06:25:00+00:00,230.9,231.0,230.7,231.0,484
2023-12-18 06:30:00+00:00,231.0,231.0,230.55,230.8,806
2023-12-18 06:35:00+00:00,230.8,231.0,230.5,231.0,3513
2023-12-18 06:40:00+00:00,231.25,231.45,231.2,231.2,713
2023-12-18 06:45:00+00:00,230.95,231.1,230.85,231.1,208
2023-12-18 06:50:00+00:00,231.1,231.8,231.1,231.75,948
2023-12-18 06:55:00+00:00,231.75,231.8,231.5,231.75,503
2023-12-18 07:00:00+00:00,231.75,231.8,231.45,231.5,118
2023-12-18 07:05:00+00:00,230.95,231.7,230.95,231.65,3232
2023-12-18 07:10:00+00:00,231.65,231.8,231.65,231.8,217
2023-12-18 07:15:00+00:00,231.8,231.8,231.3,231.8,432
2023-12-18 07:20:00+00:00,231.8,231.8,231.35,231.75,212
2023-12-18 07:25:00+00:00,231.75,231.75,231.4,231.65,164
2023-12-18 07:30:00+00:00,231.65,231.7,231.15,231.25,173
2023-12-18 07:35:00+00:00,231.25,231.55,231.25,231.55,227
2023-12-18 07:40:00+00:00,231.25,231.6,230.75,230.95,2961
2023-12-18 07:45:00+00:00,230.5,230.95,230.5,230.9,1159
2023-12-18 07:50:00+00:00,230.6,230.95,230.6,230.95,813
2023-12-18 07:55:00+00:00,230.95,230.95,230.65,230.9,42
2023-12-18 08:00:00+00:00,230.9,231.0,230.9,231.0,255
2023-12-18 08:05:00+00:00,231.0,231.0,230.5,230.5,544
2023-12-18 08:10:00+00:00,230.1,230.65,230.1,230.65,1059
2023-12-18 08:15:00+00:00,230.65,231.1,230.0,231.1,3477
2023-12-18 08:20:00+00:00,231.1,231.45,230.8,231.35,662
2023-12-18 08:25:00+00:00,231.35,231.35,230.55,231.15,350
2023-12-18 08:30:00+00:00,231.15,231.15,230.8,230.9,745
2023-12-18 08:35:00+00:00,230.9,230.95,230.6,230.9,390
2023-12-18 08:40:00+00:00,230.9,230.95,230.9,230.95,216
2023-12-18 08:45:00+00:00,230.95,230.95,230.3,230.95,561
2023-12-18 08:50:00+00:00,230.95,230.95,229.85,230.0,2446
2023-12-18 08:55:00+00:00,230.0,230.0,229.65,230.0,2150
2023-12-18 09:00:00+00:00,230.0,230.4,230.0,230.4,1926
2023-12-18 09:05:00+00:00,230.45,230.45,230.4,230.4,41
2023-12-18 09:10:00+00:00,230.4,230.4,229.75,230.0,175
2023-12-18 09:15:00+00:00,230.0,230.0,229.65,229.95,38
2023-12-18 09:20:00+00:00,229.95,229.95,228.75,229.0,4110
2023-12-18 09:25:00+00:00,228.4,228.95,228.0,228.0,5485
2023-12-18 09:30:00+00:00,228.0,228.0,226.8,227.65,6960
2023-12-18 09:35:00+00:00,227.65,228.0,227.55,228.0,1876
2023-12-18 09:40:00+00:00,228.0,228.0,227.0,227.4,7032
2023-12-18 09:45:00+00:00,227.4,228.0,226.65,228.0,7221
2023-12-18 09:50:00+00:00,227.95,228.0,227.1,227.15,3106
2023-12-18 09:55:00+00:00,227.15,228.75,227.15,228.3,6522
2023-12-19 03:45:00+00:00,228.05,231.95,228.05,231.7,8835
2023-12-19 03:50:00+00:00,231.7,231.7,230.05,230.6,1655
2023-12-19 03:55:00+00:00,230.6,230.9,230.6,230.9,22
2023-12-19 04:00:00+00:00,230.9,230.9,229.65,229.95,653
2023-12-19 04:05:00+00:00,229.95,229.95,228.85,228.95,3040
2023-12-19 04:10:00+00:00,228.95,229.35,228.4,228.4,730
2023-12-19 04:15:00+00:00,228.4,228.4,227.3,227.75,1646
2023-12-19 04:20:00+00:00,227.75,228.5,227.6,228.5,1023
2023-12-19 04:25:00+00:00,228.5,228.5,227.65,227.9,953
2023-12-19 04:30:00+00:00,227.5,228.75,227.2,228.75,1840
2023-12-19 04:35:00+00:00,228.35,228.35,227.5,228.05,1997
2023-12-19 04:40:00+00:00,228.05,228.05,227.25,227.4,1206
2023-12-19 04:45:00+00:00,227.4,229.0,227.4,229.0,1991
2023-12-19 04:50:00+00:00,229.0,229.0,228.0,228.0,216
2023-12-19 04:55:00+00:00,228.0,228.2,227.8,228.15,237
2023-12-19 05:00:00+00:00,228.15,228.25,228.1,228.25,304
2023-12-19 05:05:00+00:00,228.25,228.55,228.05,228.05,891
2023-12-19 05:10:00+00:00,228.05,228.75,228.05,228.75,54
2023-12-19 05:15:00+00:00,228.75,229.0,228.05,228.55,5856
2023-12-19 05:20:00+00:00,228.55,228.65,228.0,228.5,2740
2023-12-19 05:25:00+00:00,228.5,228.5,228.15,228.15,18
2023-12-19 05:30:00+00:00,228.15,229.1,228.15,229.0,1573
2023-12-19 05:35:00+00:00,228.7,228.85,228.4,228.85,540
2023-12-19 05:40:00+00:00,228.85,229.05,228.35,228.65,237
2023-12-19 05:45:00+00:00,228.65,228.95,228.55,228.85,554
2023-12-19 05:50:00+00:00,228.7,228.7,228.7,228.7,40
2023-12-19 05:55:00+00:00,228.7,228.7,228.1,228.15,1441
2023-12-19 06:00:00+00:00,228.15,228.6,228.15,228.6,236
2023-12-19 06:05:00+00:00,228.6,228.95,228.35,228.85,362
2023-12-19 06:10:00+00:00,228.85,228.85,228.3,228.6,390
2023-12-19 06:15:00+00:00,228.6,228.6,228.35,228.35,5
2023-12-19 06:20:00+00:00,228.3,229.05,228.15,229.05,1285
2023-12-19 06:25:00+00:00,229.05,229.4,228.95,229.05,291
2023-12-19 06:30:00+00:00,229.05,229.25,228.95,228.95,500
2023-12-19 06:35:00+00:00,228.95,229.2,228.95,228.95,244
2023-12-19 06:40:00+00:00,228.95,228.95,228.65,228.65,76
2023-12-19 06:45:00+00:00,228.9,228.9,228.9,228.9,82
2023-12-19 06:50:00+00:00,228.95,228.95,228.45,228.7,63
2023-12-19 06:55:00+00:00,228.7,228.75,228.3,228.35,169
2023-12-19 07:00:00+00:00,228.35,228.35,226.55,227.15,5311
2023-12-19 07:05:00+00:00,227.15,227.55,227.15,227.55,16
2023-12-19 07:10:00+00:00,227.55,227.65,227.55,227.65,73
2023-12-19 07:15:00+00:00,227.65,227.9,227.3,227.45,238
2023-12-19 07:20:00+00:00,227.45,227.85,227.45,227.65,22
