,open,high,low,close,volume
2023-12-18 03:45:00+00:00,3862.0,3877.45,3857.1,3862.5,51
2023-12-18 03:50:00+00:00,3862.5,3875.0,3860.1,3866.15,696
2023-12-18 03:55:00+00:00,3866.15,3875.0,3865.95,3869.15,46
2023-12-18 04:00:00+00:00,3869.15,3875.0,3869.15,3872.35,111
2023-12-18 04:05:00+00:00,3872.35,3875.0,3869.55,3874.95,20
2023-12-18 04:10:00+00:00,3874.95,3888.65,3860.0,3864.35,673
2023-12-18 04:15:00+00:00,3864.35,3865.0,3835.1,3840.05,300
2023-12-18 04:20:00+00:00,3838.8,3840.2,3819.95,3840.2,596
2023-12-18 04:25:00+00:00,3840.2,3850.05,3840.2,3850.05,34
2023-12-18 04:30:00+00:00,3851.0,3867.35,3851.0,3861.85,14
2023-12-18 04:35:00+00:00,3861.85,3861.85,3852.4,3852.55,27
2023-12-18 04:40:00+00:00,3852.55,3862.45,3850.05,3851.85,57
2023-12-18 04:45:00+00:00,3851.85,3865.0,3851.85,3863.75,54
2023-12-18 04:50:00+00:00,3863.75,3863.75,3855.1,3859.2,12
2023-12-18 04:55:00+00:00,3859.2,3859.2,3847.55,3847.55,35
2023-12-18 05:00:00+00:00,3847.55,3857.3,3847.25,3857.3,37
2023-12-18 05:05:00+00:00,3857.3,3866.05,3851.2,3851.2,86
2023-12-18 05:10:00+00:00,3851.2,3859.95,3851.2,3859.95,15
2023-12-18 05:15:00+00:00,3859.95,3882.4,3856.15,3874.2,67
2023-12-18 05:20:00+00:00,3874.2,3874.2,3859.8,3867.05,161
2023-12-18 05:25:00+00:00,3867.05,3871.8,3865.25,3871.8,15
2023-12-18 05:30:00+00:00,3871.3,3871.3,3865.1,3865.1,8
2023-12-18 05:35:00+00:00,3865.1,3871.15,3865.0,3865.0,13
2023-12-18 05:40:00+00:00,3865.0,3874.15,3865.0,3874.15,89
2023-12-18 05:45:00+00:00,3874.15,3874.15,3867.6,3869.0,16
2023-12-18 05:50:00+00:00,3869.0,3869.0,3860.0,3860.0,14
2023-12-18 05:55:00+00:00,3860.0,3863.9,3857.55,3863.9,1
2023-12-18 06:00:00+00:00,3863.9,3865.05,3847.6,3855.05,208
2023-12-18 06:05:00+00:00,3855.05,3862.2,3852.4,3852.4,30
2023-12-18 06:10:00+00:00,3852.4,3857.45,3850.15,3856.6,15
2023-12-18 06:15:00+00:00,3856.6,3864.4,3851.0,3864.4,41
2023-12-18 06:20:00+00:00,3862.45,3864.95,3855.65,3855.65,32
2023-12-18 06:25:00+00:00,3855.65,3855.65,3848.5,3848.5,102
2023-12-18 06:30:00+00:00,3848.5,3849.0,3845.0,3848.4,13
2023-12-18 06:35:00+00:00,3848.4,3848.7,3842.25,3848.7,279
2023-12-18 06:40:00+00:00,3848.7,3851.7,3845.7,3851.7,13
2023-12-18 06:45:00+00:00,3851.7,3851.7,3851.7,3851.7,0
2023-12-18 06:50:00+00:00,3851.7,3851.7,3842.7,3842.7,18
2023-12-18 06:55:00+00:00,3842.7,3851.35,3842.7,3850.55,8
2023-12-18 07:00:00+00:00,3850.55,3851.7,3844.7,3851.7,20
2023-12-18 07:05:00+00:00,3847.45,3848.9,3844.0,3848.9,49
2023-12-18 07:10:00+00:00,3848.9,3848.9,3844.0,3847.0,10
2023-12-18 07:15:00+00:00,3847.0,3852.0,3847.0,3852.0,3
2023-12-18 07:20:00+00:00,3852.0,3852.0,3846.95,3846.95,6
2023-12-18 07:25:00+00:00,3846.95,3851.85,3845.25,3851.85,14
2023-12-18 07:30:00+00:00,3851.85,3851.85,3827.7,3829.95,426
2023-12-18 07:35:00+00:00,3829.95,3834.55,3829.0,3829.0,2
2023-12-18 07:40:00+00:00,3829.0,3830.05,3829.0,3830.05,2
2023-12-18 07:45:00+00:00,3830.05,3839.9,3830.0,3839.9,47
2023-12-18 07:50:00+00:00,3839.9,3839.9,3839.9,3839.9,0
2023-12-18 07:55:00+00:00,3839.9,3839.9,3831.85,3832.8,3
2023-12-18 08:00:00+00:00,3832.8,3855.0,3832.8,3855.0,164
2023-12-18 08:05:00+00:00,3855.0,3859.95,3848.5,3850.2,55
2023-12-18 08:10:00+00:00,3850.2,3857.75,3849.1,3852.4,8
2023-12-18 08:15:00+00:00,3852.4,3897.0,3852.4,3897.0,916
2023-12-18 08:20:00+00:00,3897.0,3907.45,3874.25,3874.25,701
2023-12-18 08:25:00+00:00,3874.25,3885.0,3872.15,3885.0,144
2023-12-18 08:30:00+00:00,3885.0,3885.0,3876.6,3876.6,5
2023-12-18 08:35:00+00:00,3876.6,3881.0,3875.35,3881.0,32
2023-12-18 08:40:00+00:00,3881.0,3885.25,3880.25,3881.2,36
2023-12-18 08:45:00+00:00,3881.2,3888.2,3880.2,3881.2,19
2023-12-18 08:50:00+00:00,3881.2,3895.55,3881.2,3886.35,100
2023-12-18 08:55:00+00:00,3886.35,3886.5,3881.55,3886.5,33
2023-12-18 09:00:00+00:00,3886.5,3890.85,3886.5,3889.9,29
2023-12-18 09:05:00+00:00,3889.9,3889.9,3883.05,3883.05,11
2023-12-18 09:10:00+00:00,3883.05,3889.15,3883.05,3884.05,23
2023-12-18 09:15:00+00:00,3884.05,3902.25,3884.05,3902.0,125
2023-12-18 09:20:00+00:00,3902.0,3902.0,3890.15,3892.2,26
2023-12-18 09:25:00+00:00,3892.2,3897.95,3888.3,3888.3,25
2023-12-18 09:30:00+00:00,3888.3,3902.0,3888.3,3890.15,72
2023-12-18 09:35:00+00:00,3890.15,3900.0,3890.15,3900.0,14
2023-12-18 09:40:00+00:00,3900.0,3900.0,3881.1,3894.55,58
2023-12-18 09:45:00+00:00,3894.55,3894.55,3881.75,3882.2,93
2023-12-18 09:50:00+00:00,3882.2,3893.15,3880.0,3893.15,118
2023-12-18 09:55:00+00:00,3893.15,3896.0,3820.4,3833.4,681
2023-12-19 03:45:00+00:00,3867.75,3877.45,3850.05,3864.75,49
2023-12-19 03:50:00+00:00,3864.75,3877.45,3864.75,3877.45,170
2023-12-19 03:55:00+00:00,3877.45,3878.3,3877.45,3878.3,0
2023-12-19 04:00:00+00:00,3878.3,3879.25,3875.05,3875.05,26
2023-12-19 04:05:00+00:00,3875.05,3891.95,3873.1,3891.95,173
2023-12-19 04:10:00+00:00,3891.95,3891.95,3887.0,3889.1,38
2023-12-19 04:15:00+00:00,3889.1,3889.1,3884.0,3884.0,14
2023-12-19 04:20:00+00:00,3892.5,3893.0,3892.5,3893.0,29
2023-12-19 04:25:00+00:00,3893.0,3894.75,3891.85,3891.85,10
2023-12-19 04:30:00+00:00,3891.85,3895.45,3889.3,3895.45,11
2023-12-19 04:35:00+00:00,3895.45,3895.45,3887.1,3887.1,14
2023-12-19 04:40:00+00:00,3887.1,3895.6,3887.1,3890.0,4
2023-12-19 04:45:00+00:00,3890.0,3912.0,3890.0,3903.35,46
2023-12-19 04:50:00+00:00,3903.35,3914.95,3902.85,3908.0,202
2023-12-19 04:55:00+00:00,3906.7,3912.45,3900.2,3911.9,117
2023-12-19 05:00:00+00:00,3911.9,3914.95,3907.4,3913.1,41
2023-12-19 05:05:00+00:00,3913.1,3914.65,3912.9,3913.2,24
2023-12-19 05:10:00+00:00,3913.8,3913.8,3912.6,3912.6,7
2023-12-19 05:15:00+00:00,3912.6,3913.2,3905.8,3913.2,3
2023-12-19 05:20:00+00:00,3913.2,3913.2,3901.5,3901.6,147
