,open,high,low,close,volume
2023-12-18 03:45:00+00:00,689.9,691.5,689.35,690.0,617
2023-12-18 03:50:00+00:00,690.0,690.0,688.0,688.05,95
2023-12-18 03:55:00+00:00,688.05,691.0,688.05,691.0,1
2023-12-18 04:00:00+00:00,691.0,691.0,687.9,688.0,103
2023-12-18 04:05:00+00:00,688.0,688.0,688.0,688.0,0
2023-12-18 04:10:00+00:00,688.0,688.95,686.8,686.8,220
2023-12-18 04:15:00+00:00,686.8,686.85,686.8,686.85,3
2023-12-18 04:20:00+00:00,686.85,688.0,686.85,688.0,303
2023-12-18 04:25:00+00:00,688.0,688.95,687.0,688.0,61
2023-12-18 04:30:00+00:00,688.0,688.0,687.05,687.95,54
2023-12-18 04:35:00+00:00,687.95,688.0,686.0,686.0,330
2023-12-18 04:40:00+00:00,686.0,686.8,686.0,686.8,14
2023-12-18 04:45:00+00:00,686.8,686.8,686.8,686.8,0
2023-12-18 04:50:00+00:00,686.8,686.8,686.0,686.0,14
2023-12-18 04:55:00+00:00,686.0,687.0,686.0,686.0,304
2023-12-18 05:00:00+00:00,686.0,687.1,686.0,687.1,30
2023-12-18 05:05:00+00:00,687.1,688.0,686.05,687.95,1033
2023-12-18 05:10:00+00:00,687.85,691.9,686.65,688.0,602
2023-12-18 05:15:00+00:00,688.0,688.0,688.0,688.0,8
2023-12-18 05:20:00+00:00,687.4,688.0,686.05,686.05,200
2023-12-18 05:25:00+00:00,687.95,688.0,687.85,688.0,151
2023-12-18 05:30:00+00:00,688.0,688.0,686.7,688.0,236
2023-12-18 05:35:00+00:00,688.0,688.0,686.1,686.1,25
2023-12-18 05:40:00+00:00,686.1,688.0,686.1,687.0,23
2023-12-18 05:45:00+00:00,687.0,688.0,687.0,688.0,29
2023-12-18 05:50:00+00:00,688.0,688.0,687.3,687.95,40
2023-12-18 05:55:00+00:00,687.95,687.95,687.95,687.95,0
2023-12-18 06:00:00+00:00,687.95,687.95,687.95,687.95,0
2023-12-18 06:05:00+00:00,687.95,687.95,687.0,687.9,34
2023-12-18 06:10:00+00:00,687.9,688.0,687.9,688.0,575
