,open,high,low,close,volume
2023-12-18 03:45:00+00:00,691.0,691.95,689.6,691.95,23
2023-12-18 03:50:00+00:00,691.95,691.95,690.0,690.0,181
2023-12-18 03:55:00+00:00,690.0,693.0,688.05,690.0,990
2023-12-18 04:00:00+00:00,690.0,690.0,684.15,684.4,38
2023-12-18 04:05:00+00:00,684.0,684.0,684.0,684.0,5
2023-12-18 04:10:00+00:00,684.0,684.0,681.25,682.4,82
2023-12-18 04:15:00+00:00,682.4,682.4,682.4,682.4,0
2023-12-18 04:20:00+00:00,682.4,683.25,682.4,682.45,3
2023-12-18 04:25:00+00:00,682.45,682.45,682.45,682.45,0
2023-12-18 04:30:00+00:00,682.45,682.45,682.45,682.45,0
2023-12-18 04:35:00+00:00,682.45,683.85,681.3,682.3,28
2023-12-18 04:40:00+00:00,682.3,682.35,681.25,682.25,125
2023-12-18 04:45:00+00:00,682.25,682.35,682.25,682.3,12
2023-12-18 04:50:00+00:00,682.3,684.6,682.3,684.6,105
2023-12-18 04:55:00+00:00,684.6,684.6,684.6,684.6,0
2023-12-18 05:00:00+00:00,684.6,684.6,683.15,683.2,6
2023-12-18 05:05:00+00:00,683.35,683.35,683.35,683.35,6
2023-12-18 05:10:00+00:00,683.35,683.85,683.35,683.8,109
2023-12-18 05:15:00+00:00,683.8,683.8,683.8,683.8,0
2023-12-18 05:20:00+00:00,683.8,683.8,683.7,683.7,2
2023-12-18 05:25:00+00:00,683.7,683.7,683.7,683.7,0
2023-12-18 05:30:00+00:00,683.4,683.4,683.4,683.4,0
2023-12-18 05:35:00+00:00,683.4,683.4,683.25,683.25,4
2023-12-18 05:40:00+00:00,683.25,684.0,683.2,683.55,22
2023-12-18 05:45:00+00:00,684.55,686.9,684.55,686.9,52
2023-12-18 05:50:00+00:00,686.9,686.9,686.9,686.9,0
2023-12-18 05:55:00+00:00,686.9,686.9,683.0,683.35,10
2023-12-18 06:00:00+00:00,682.5,682.5,681.1,681.2,372
2023-12-18 06:05:00+00:00,681.2,681.3,681.2,681.3,2
2023-12-18 06:10:00+00:00,684.7,684.7,684.7,684.7,30
2023-12-18 06:15:00+00:00,684.7,684.7,684.0,684.0,2
2023-12-18 06:20:00+00:00,684.0,684.0,684.0,684.0,0
2023-12-18 06:25:00+00:00,684.0,684.0,684.0,684.0,0
2023-12-18 06:30:00+00:00,684.0,684.0,682.2,682.2,5
2023-12-18 06:35:00+00:00,682.2,682.2,682.2,682.2,0
2023-12-18 06:40:00+00:00,681.3,684.7,677.05,684.7,343
2023-12-18 06:45:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 06:50:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 06:55:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:00:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:05:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:10:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:15:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:20:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:25:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:30:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:35:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:40:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:45:00+00:00,684.7,684.7,684.7,684.7,0
2023-12-18 07:50:00+00:00,680.35,680.35,678.85,678.9,149
2023-12-18 07:55:00+00:00,678.9,680.1,678.9,679.6,55
2023-12-18 08:00:00+00:00,678.5,678.65,678.45,678.65,38
2023-12-18 08:05:00+00:00,678.65,679.0,678.65,679.0,12
2023-12-18 08:10:00+00:00,679.0,679.0,679.0,679.0,99
2023-12-18 08:15:00+00:00,679.0,679.0,679.0,679.0,1
2023-12-18 08:20:00+00:00,679.0,679.0,678.65,678.65,3
2023-12-18 08:25:00+00:00,678.65,678.65,678.65,678.65,0
2023-12-18 08:30:00+00:00,678.65,678.95,677.5,678.95,113
2023-12-18 08:35:00+00:00,678.95,678.95,677.0,677.0,200
2023-12-18 08:40:00+00:00,677.0,679.0,677.0,679.0,55
2023-12-18 08:45:00+00:00,679.0,679.0,679.0,679.0,0
2023-12-18 08:50:00+00:00,679.0,679.0,679.0,679.0,0
2023-12-18 08:55:00+00:00,679.0,679.0,679.0,679.0,0
2023-12-18 09:00:00+00:00,678.0,678.1,678.0,678.1,5
2023-12-18 09:05:00+00:00,678.1,679.0,678.1,679.0,36
2023-12-18 09:10:00+00:00,679.0,679.0,678.2,678.2,7
2023-12-18 09:15:00+00:00,678.2,678.8,678.2,678.8,56
2023-12-18 09:20:00+00:00,678.8,678.8,678.2,678.2,1
2023-12-18 09:25:00+00:00,678.2,678.2,677.0,677.0,421
2023-12-18 09:30:00+00:00,677.0,677.0,677.0,677.0,39
2023-12-18 09:35:00+00:00,677.0,677.0,677.0,677.0,0
2023-12-18 09:40:00+00:00,677.0,677.0,676.25,676.25,364
2023-12-18 09:45:00+00:00,675.7,675.7,675.7,675.7,23
2023-12-18 09:50:00+00:00,675.7,688.95,672.6,687.0,138
2023-12-18 09:55:00+00:00,687.0,688.75,675.1,686.3,606
2023-12-19 03:45:00+00:00,677.25,679.75,677.0,678.0,2
2023-12-19 03:50:00+00:00,678.0,678.55,677.9,678.55,24
2023-12-19 03:55:00+00:00,678.55,680.0,678.55,680.0,32
2023-12-19 04:00:00+00:00,680.0,680.0,650.1,666.35,5033
2023-12-19 04:05:00+00:00,666.35,670.65,665.15,670.6,563
2023-12-19 04:10:00+00:00,667.9,669.5,660.0,661.95,4413
2023-12-19 04:15:00+00:00,662.2,662.95,661.95,662.95,129
2023-12-19 04:20:00+00:00,662.95,665.45,662.95,664.1,41
