,open,high,low,close,volume
2023-12-18 03:45:00+00:00,165.7,169.95,163.1,163.1,191
2023-12-18 03:50:00+00:00,163.1,163.1,158.1,158.1,643
2023-12-18 03:55:00+00:00,158.1,168.35,158.1,160.25,307
2023-12-18 04:00:00+00:00,160.25,164.0,160.25,162.9,20
2023-12-18 04:05:00+00:00,162.85,165.95,162.5,165.45,385
2023-12-18 04:10:00+00:00,165.45,166.9,163.25,166.75,376
2023-12-18 04:15:00+00:00,166.75,166.75,164.8,165.0,62
2023-12-18 04:25:00+00:00,165.0,165.0,165.0,165.0,0
2023-12-18 04:30:00+00:00,165.0,165.0,164.45,164.45,1
2023-12-18 04:35:00+00:00,164.45,166.0,164.45,166.0,17
2023-12-18 04:40:00+00:00,166.0,166.0,166.0,166.0,0
2023-12-18 04:45:00+00:00,166.0,166.0,166.0,166.0,0
2023-12-18 04:50:00+00:00,164.4,164.6,164.4,164.6,0
2023-12-18 05:10:00+00:00,164.6,164.6,164.6,164.6,0
2023-12-18 05:25:00+00:00,164.6,164.6,164.6,164.6,0
2023-12-18 05:30:00+00:00,164.6,164.6,164.6,164.6,0
2023-12-18 05:35:00+00:00,164.6,165.05,164.6,165.0,55
2023-12-18 05:50:00+00:00,165.0,165.0,165.0,165.0,0
2023-12-18 05:55:00+00:00,165.0,165.0,165.0,165.0,0
2023-12-18 06:15:00+00:00,165.0,165.0,165.0,165.0,0
2023-12-18 06:20:00+00:00,164.25,164.25,164.25,164.25,20
2023-12-18 06:25:00+00:00,164.25,164.25,164.25,164.25,0
2023-12-18 06:30:00+00:00,164.25,164.3,164.25,164.3,11
2023-12-18 06:35:00+00:00,164.3,164.3,164.3,164.3,0
2023-12-18 06:45:00+00:00,163.05,163.05,163.05,163.05,85
2023-12-18 06:50:00+00:00,163.05,163.05,163.05,163.05,0
2023-12-18 07:00:00+00:00,163.05,163.05,161.4,161.4,10
2023-12-18 07:05:00+00:00,161.4,161.4,161.4,161.4,0
2023-12-18 07:10:00+00:00,161.4,162.65,161.4,162.65,0
2023-12-18 07:15:00+00:00,162.65,162.65,162.65,162.65,12
2023-12-18 07:25:00+00:00,162.65,162.65,162.65,162.65,0
2023-12-18 07:30:00+00:00,162.65,162.65,162.65,162.65,0
2023-12-18 07:40:00+00:00,162.65,162.65,162.65,162.65,50
2023-12-18 07:50:00+00:00,162.65,162.65,162.65,162.65,0
2023-12-18 08:00:00+00:00,163.95,163.95,163.95,163.95,50
2023-12-18 08:05:00+00:00,163.95,163.95,163.95,163.95,0
2023-12-18 08:15:00+00:00,163.95,163.95,163.95,163.95,0
2023-12-18 08:25:00+00:00,160.5,160.5,160.5,160.5,0
2023-12-18 08:30:00+00:00,160.5,160.5,160.5,160.5,0
2023-12-18 08:40:00+00:00,160.55,160.55,160.55,160.55,2
2023-12-18 08:50:00+00:00,160.55,160.55,160.55,160.55,0
2023-12-18 08:55:00+00:00,160.55,163.0,160.55,163.0,0
2023-12-18 09:00:00+00:00,163.0,163.0,161.25,161.25,1
2023-12-18 09:05:00+00:00,161.25,161.25,161.25,161.25,0
2023-12-18 09:10:00+00:00,161.25,161.25,161.25,161.25,0
2023-12-18 09:15:00+00:00,161.25,163.95,161.25,163.95,1
2023-12-18 09:20:00+00:00,163.95,163.95,163.95,163.95,0
2023-12-18 09:25:00+00:00,163.95,163.95,163.95,163.95,0
2023-12-18 09:30:00+00:00,163.95,163.95,161.4,163.55,9
2023-12-18 09:35:00+00:00,163.55,163.55,163.55,163.55,0
2023-12-18 09:40:00+00:00,163.55,163.55,163.5,163.5,34
2023-12-18 09:45:00+00:00,163.5,163.5,163.5,163.5,0
2023-12-18 09:50:00+00:00,163.5,163.5,163.5,163.5,0
2023-12-18 09:55:00+00:00,163.5,165.0,160.6,165.0,268
2023-12-19 03:45:00+00:00,169.0,169.0,169.0,169.0,0
2023-12-19 03:50:00+00:00,169.0,169.0,164.05,167.35,33
2023-12-19 03:55:00+00:00,167.35,168.0,163.05,163.05,89
