,open,high,low,close,volume
2023-12-18 03:45:00+00:00,167.85,169.5,166.5,169.0,1085
2023-12-18 03:50:00+00:00,169.0,169.0,166.5,169.0,775
2023-12-18 03:55:00+00:00,169.0,169.0,167.0,168.8,463
2023-12-18 04:00:00+00:00,168.8,168.8,167.0,167.0,272
2023-12-18 04:05:00+00:00,167.0,167.0,166.0,166.5,1203
2023-12-18 04:10:00+00:00,166.5,166.5,166.0,166.5,256
2023-12-18 04:15:00+00:00,166.5,166.5,165.0,165.0,211
2023-12-18 04:20:00+00:00,165.0,166.5,165.0,165.0,46
2023-12-18 04:25:00+00:00,165.0,166.5,164.0,164.0,370
2023-12-18 04:30:00+00:00,164.0,166.5,164.0,166.5,123
2023-12-18 04:35:00+00:00,166.5,166.5,164.0,166.5,127
2023-12-18 04:40:00+00:00,166.5,166.5,164.0,166.5,370
2023-12-18 04:45:00+00:00,166.5,166.5,163.25,166.4,105
2023-12-18 04:50:00+00:00,166.4,166.4,162.0,166.4,1593
2023-12-18 04:55:00+00:00,166.4,166.4,163.25,165.0,27
2023-12-18 05:00:00+00:00,165.0,165.0,163.0,165.0,539
2023-12-18 05:05:00+00:00,165.0,166.4,165.0,165.0,445
2023-12-18 05:10:00+00:00,165.0,165.7,165.0,165.0,79
2023-12-18 05:15:00+00:00,165.0,165.7,165.0,165.5,150
2023-12-18 05:20:00+00:00,165.7,165.7,165.5,165.5,94
2023-12-18 05:25:00+00:00,165.5,165.7,165.5,165.7,315
2023-12-18 05:30:00+00:00,165.7,165.7,165.7,165.7,3
2023-12-18 05:35:00+00:00,165.7,165.7,164.7,164.7,462
2023-12-18 05:40:00+00:00,164.7,164.7,164.7,164.7,35
2023-12-18 05:45:00+00:00,164.7,164.7,163.7,163.7,115
2023-12-18 05:50:00+00:00,163.7,163.7,163.5,163.7,3
2023-12-18 05:55:00+00:00,163.7,165.0,163.25,165.0,122
2023-12-18 06:00:00+00:00,165.0,165.65,164.0,164.0,97
2023-12-18 06:05:00+00:00,164.0,165.65,164.0,165.5,8
2023-12-18 06:10:00+00:00,165.5,165.65,165.5,165.65,102
2023-12-18 06:15:00+00:00,164.05,165.7,164.05,165.0,28
2023-12-18 06:20:00+00:00,165.0,165.95,165.0,165.95,89
2023-12-18 06:25:00+00:00,165.95,165.95,165.0,165.0,5
2023-12-18 06:30:00+00:00,165.0,165.95,165.0,165.05,23
2023-12-18 06:35:00+00:00,165.95,165.95,165.05,165.95,133
2023-12-18 06:40:00+00:00,165.95,165.95,165.0,165.05,91
2023-12-18 06:45:00+00:00,165.05,165.05,165.0,165.05,17
2023-12-18 06:50:00+00:00,165.05,165.05,164.0,165.05,524
2023-12-18 06:55:00+00:00,164.0,164.0,164.0,164.0,100
2023-12-18 07:00:00+00:00,164.0,165.0,163.35,163.4,148
2023-12-18 07:05:00+00:00,162.65,165.05,162.65,165.05,544
2023-12-18 07:10:00+00:00,165.05,165.05,165.05,165.05,0
2023-12-18 07:15:00+00:00,165.05,165.05,165.0,165.0,16
2023-12-18 07:20:00+00:00,165.0,165.0,163.05,163.05,23
2023-12-18 07:25:00+00:00,163.05,165.0,162.65,162.75,623
2023-12-18 07:30:00+00:00,162.75,162.75,162.65,162.65,579
2023-12-18 07:35:00+00:00,162.65,162.65,160.0,162.0,1912
2023-12-18 07:40:00+00:00,162.0,165.05,160.1,162.65,665
2023-12-18 07:45:00+00:00,162.65,166.4,162.65,166.4,373
2023-12-18 07:50:00+00:00,166.4,166.4,162.65,162.65,207
2023-12-18 07:55:00+00:00,162.65,165.65,162.65,165.0,4
2023-12-18 08:00:00+00:00,165.0,165.0,164.0,165.0,72
2023-12-18 08:05:00+00:00,165.0,165.0,164.0,164.0,250
2023-12-18 08:10:00+00:00,164.0,164.0,164.0,164.0,0
2023-12-18 08:15:00+00:00,164.0,164.05,164.0,164.05,200
2023-12-18 08:20:00+00:00,164.05,164.05,164.05,164.05,9
2023-12-18 08:25:00+00:00,164.9,166.0,164.05,164.05,351
2023-12-18 08:30:00+00:00,164.05,164.95,164.05,164.95,262
2023-12-18 08:35:00+00:00,164.95,166.0,164.95,166.0,33
2023-12-18 08:40:00+00:00,166.0,166.0,166.0,166.0,312
2023-12-18 08:45:00+00:00,166.0,166.0,166.0,166.0,0
2023-12-18 08:50:00+00:00,166.0,166.0,166.0,166.0,110
2023-12-18 08:55:00+00:00,166.4,166.5,166.4,166.4,145
